filename,dice,iou,gt_pixels,pred_pixels
1437.png,0.7633158768680547,0.6172278454864697,3192,4637
1442.png,0.7382528127068166,0.5851035929714136,2231,3813
1457.png,0.9469762109486959,0.899292324442025,1684,1805
1458.png,0.6510426277911053,0.4826265389876881,1801,3618
1459.png,0.8904262441419326,0.8024939662107804,2066,2415
1461.png,0.5617261248007847,0.3905557449710194,2414,5743
1464.png,0.7854010468241618,0.6466340554390869,3584,3485
1465.png,0.9350045225481328,0.8779422470274205,3638,4101
1466.png,0.7072243346007605,0.5470588235294118,2975,4652
1472.png,0.5470343785417454,0.3764950598023921,728,1919
1477.png,0.5202639019792649,0.35159235668789807,832,2351
1480.png,0.7056451612903226,0.5451713395638629,1408,2560
1481.png,0.67960721625942,0.5147007955724663,1522,2857
1482.png,0.611023067441451,0.43990872210953347,1800,3879
1483.png,0.8054206085400153,0.6742294520547946,2059,1852
1484.png,0.9045685279187817,0.8257645968489342,1947,1993
1485.png,0.9523565573770492,0.9090464547677262,1936,1968
1488.png,0.5319314641744548,0.3623342175066313,773,1795
1490.png,0.5775683317624882,0.40604293665518154,1532,3773
1491.png,0.4872032069071847,0.3220546269873624,790,2453
1492.png,0.46372138019993553,0.30184718723761544,719,2382
1493.png,0.87044356609574,0.7706065318818041,2033,2521
1495.png,0.9144542772861357,0.842391304347826,3364,3416
1496.png,0.8741359071344724,0.7764133456904542,3480,4187
1497.png,0.6100719424460431,0.4389233954451346,3332,7093
1498.png,0.42031312725812925,0.26607369758576876,1916,3066
150.png,0.9419439868204283,0.8902590931738914,7829,7346
1509.png,0.6895910780669146,0.526241134751773,2990,5618
1519.png,0.8368298368298368,0.7194388777555111,1806,2484
152.png,0.9697135809236672,0.9412077680234104,3616,3681
1529.png,0.8577467765800042,0.7509252405625463,2032,2699
1533.png,0.5293546821931101,0.3599472121412075,1123,2999
1534.png,0.8443093549476528,0.7305669199298656,1262,1699
1535.png,0.8714837286265857,0.772238514173998,1604,2022
1536.png,0.8286624203821656,0.7074497009244154,1307,1833
1545.png,0.4648068168553753,0.3027676399026764,1991,6576
1546.png,0.9386225610543998,0.8843438032627222,3814,3925
1547.png,0.602091020910209,0.43070831500219975,4348,2156
1548.png,0.7000849617672048,0.538562091503268,4195,2867
1551.png,0.8254016832440704,0.7027097446586764,2701,3834
1552.png,0.5252401389740445,0.3561529933481153,1345,3548
1555.png,0.6789566581682683,0.5139548693586699,1731,3368
1559.png,0.8203052008720025,0.6953537486800423,1326,1885
156.png,0.9623976468717704,0.9275206864848299,12665,12493
1560.png,0.9044276457883369,0.8255298176441597,1733,1971
1563.png,0.6777623670827554,0.5125874125874126,777,1386
1564.png,0.6417736289381564,0.4725085910652921,850,1721
1574.png,0.8191089640365002,0.6936363636363636,2069,1657
1575.png,0.745574310415809,0.5943551033803741,3029,1829
1577.png,0.8895146595991387,0.8010143198090692,2707,3330
1579.png,0.8943713450292398,0.8089256198347108,2458,3014
1583.png,0.749110115971983,0.5988617587662933,5245,3464
1585.png,0.926000734484025,0.8621986664387075,5116,5776
1587.png,0.767244251916028,0.6223814028922827,6712,5292
1588.png,0.8825581395348837,0.7898022892819979,8240,7240
1590.png,0.6792452830188679,0.5142857142857142,1427,2548
1591.png,0.5409356725146199,0.37074148296593185,1687,4469
1596.png,0.7172512526843235,0.5591517857142857,1006,1788
16.png,0.718562874251497,0.5607476635514018,684,1153
1600.png,0.8473026516306005,0.7350608143839239,1615,1666
1601.png,0.7268275620846449,0.5708791208791208,2078,3640
1619.png,0.8498060225383336,0.738837134596852,2407,3006
1628.png,0.6542713567839196,0.48618371919342795,996,994
